iter	MultiClass
234	0.03010385238
235	0.02989141967
236	0.0297494504
237	0.02961229183
238	0.0294210327
239	0.02927289267
240	0.02915124898
241	0.02902565461
242	0.02886366033
243	0.02877847272
244	0.02861952568
245	0.02840744777
246	0.02830801249
247	0.02819880325
248	0.02801656252
249	0.02772337882
250	0.02747198
251	0.02732287647
252	0.02721100008
253	0.02708051907
254	0.02692425607
255	0.02680352861
256	0.02670711985
257	0.02656163838
258	0.02643481508
259	0.0263109142
260	0.02620041802
261	0.02608734579
262	0.02604293552
263	0.02585041044
264	0.02574080367
265	0.02559966286
266	0.02552536342
267	0.02545071125
268	0.02537557609
269	0.02524165578
270	0.02513327765
271	0.02505959638
272	0.02498095956
273	0.02478317932
274	0.02467605703
275	0.02453042892
276	0.02442514939
277	0.0243439064
278	0.02419129127
279	0.02410898727
280	0.0240422901
281	0.02388326811
282	0.02383925875
283	0.02374611536
284	0.02363251833
285	0.02360388375
286	0.02350878404
287	0.02335236008
288	0.023248242
289	0.02316386183
290	0.02306956004
291	0.02300718133
292	0.02288197752
293	0.0228032579
294	0.0227339634
295	0.02255488334
296	0.02249124629
297	0.02238887787
298	0.02233435498
299	0.02228983863
300	0.0222033856
301	0.02208172121
302	0.02202471642
303	0.02189111828
304	0.02181078509
305	0.02172680369
306	0.02162517379
307	0.02150911426
308	0.02144984498
309	0.02135396393
310	0.02129649546
311	0.02124310749
312	0.02116146758
313	0.02108844419
314	0.02095932452
315	0.02086011035
316	0.02078517694
317	0.02070907859
318	0.02061856547
319	0.02056817588
320	0.02049491755
321	0.0204018348
322	0.02028635688
323	0.02024912519
324	0.02016570414
325	0.02011161555
326	0.02005985649
327	0.01999814311
328	0.01993712781
329	0.01982734674
330	0.01974917881
331	0.01972869312
332	0.01968419169
333	0.01962804118
334	0.0195410914
335	0.01946252212
336	0.01944582836
337	0.01936238927
338	0.01923377165
339	0.0191990048
340	0.01914923144
341	0.01907837914
342	0.01900203354
343	0.01893067545
344	0.01886361166
345	0.01881946741
346	0.01876886174
347	0.01865433253
348	0.0185105645
349	0.01844747857
350	0.01837099819
351	0.01830907403
352	0.0181853361
353	0.01808795046
354	0.01804841221
355	0.01799089706
356	0.01793112299
357	0.01786480742
358	0.01781667218
359	0.01774581952
360	0.01764675342
361	0.01755273673
362	0.01749555055
363	0.0173630816
364	0.0172825886
365	0.01723807573
366	0.01717849059
367	0.017074862
368	0.017000729
369	0.01692662986
370	0.01686505471
371	0.01678150649
372	0.01672660247
373	0.01668812775
374	0.01665603911
375	0.01658023131
376	0.01650099414
377	0.01644563486
378	0.01641025908
379	0.01637232242
380	0.01628817098
381	0.0162025364
382	0.01613054161
383	0.01607200693
384	0.0160247519
385	0.01596639933
386	0.01589384378
387	0.0158527024
388	0.01580581844
389	0.01571266931
390	0.0156539386
391	0.01560845359
392	0.01555868714
393	0.01547738869
394	0.01541498609
395	0.01537054529
396	0.01531087412
397	0.01527301155
398	0.01524295519
399	0.01520448592
400	0.01514989238
401	0.01508475235
402	0.01506165493
403	0.01500158887
404	0.01496244833
405	0.01490807565
406	0.01486998685
407	0.01483496289
408	0.01477801267
409	0.01472943878
410	0.01468946794
411	0.01464265867
412	0.01461897088
413	0.01458768605
414	0.01454900751
415	0.0144953856
416	0.01447205874
417	0.01441363983
418	0.014383904
419	0.0143505369
420	0.01430243982
421	0.01427025188
422	0.01423624961
423	0.01418198802
424	0.01414138137
425	0.01409685346
426	0.0140811717
427	0.01404491774
428	0.01400026418
429	0.01396971634
430	0.01394163696
431	0.01390094223
432	0.01385563949
433	0.013808315
434	0.01375936281
435	0.01371285326
436	0.01361626707
437	0.01356797002
438	0.01352638356
439	0.0134750189
440	0.01343459939
441	0.01338813018
442	0.01336176427
443	0.01333023099
444	0.01328734989
445	0.01326319572
446	0.0132270885
447	0.01317875332
448	0.01314771972
449	0.01309374461
450	0.01305804835
451	0.01301998687
452	0.01296461848
453	0.01291260505
454	0.01288923676
455	0.01283135619
456	0.01280152294
457	0.01277743792
458	0.01272749918
459	0.01267128418
460	0.0126183625
461	0.01256696399
462	0.01252975215
463	0.01249866647
464	0.01245498962
465	0.01243359845
466	0.01237149425
467	0.01232565822
468	0.01228207764
469	0.01223275811
470	0.01221533727
471	0.01219236866
472	0.01216119834
473	0.01213077251
474	0.01208935456
475	0.01205102154
476	0.01198793905
477	0.01197243641
478	0.01194315851
479	0.01189569959
480	0.0118526663
481	0.01181577532
482	0.01177453864
483	0.01175905708
484	0.01172646308
485	0.0116892813
486	0.01166991558
487	0.01162543428
488	0.01160040289
489	0.01159403219
490	0.01156137333
491	0.01152934005
492	0.01151304382
493	0.01148318859
494	0.01145153551
495	0.01142745895
496	0.01140325369
497	0.01137415001
498	0.01131737634
499	0.01128448597
500	0.01125333729
501	0.01122302769
502	0.01119243864
503	0.01116847008
504	0.0111278458
505	0.01109445016
506	0.01107160812
507	0.01102769862
508	0.01100037986
509	0.01098737419
510	0.01094204404
511	0.01089709926
512	0.01086465805
513	0.01083841039
514	0.01080636907
515	0.01078888343
516	0.01074448123
517	0.01067788441
518	0.01066367611
519	0.01064021849
520	0.01060528048
521	0.01057479317
522	0.01053456046
523	0.01052005294
524	0.01047343437
525	0.01043636182
526	0.01040390248
527	0.01037716501
528	0.01034968151
529	0.01031834587
530	0.010295195
531	0.01027572213
532	0.01025917106
533	0.01023802156
534	0.01021229994
535	0.01017608703
536	0.01015312182
537	0.01012529395
538	0.01010311158
539	0.0100748251
540	0.010043121
541	0.01002352484
542	0.01000036807
543	0.00998879315
544	0.009958232218
545	0.009942126632
546	0.009907484232
547	0.009881690605
548	0.009862126802
549	0.009816506963
550	0.009792042989
551	0.009775790235
552	0.009751860686
553	0.00973829914
554	0.009700088497
555	0.009688737414
556	0.009662621722
557	0.009647679878
558	0.009631337199
559	0.009609264067
560	0.009576329447
561	0.009550827624
562	0.009530478831
563	0.00951925576
564	0.009488051155
565	0.009458210154
566	0.009446877789
567	0.009428601007
568	0.00940076944
569	0.009386195398
570	0.009370369449
571	0.009338009393
572	0.009318113475
573	0.009289850099
574	0.009264018197
575	0.009248148268
576	0.009237968923
577	0.009229941751
578	0.009214729282
579	0.009209746854
580	0.009196655956
581	0.009176431609
582	0.009154827463
583	0.009117232743
584	0.009095863604
585	0.009061207278
586	0.009038803
587	0.009014012994
588	0.00899833234
589	0.00898832719
590	0.008965474896
591	0.008946612711
592	0.008928043759
593	0.008900833863
594	0.008870737812
595	0.008853876232
596	0.008834142658
597	0.008816274884
598	0.008803994584
599	0.008775008998
600	0.008757103832
601	0.008721007375
602	0.008691324675
603	0.008675503412
604	0.008663360352
605	0.00865124504
606	0.008635757542
607	0.008612536382
608	0.008581251653
609	0.008572130514
610	0.00855875229
611	0.008547798869
612	0.008528223744
613	0.008516137143
614	0.008489286877
615	0.008471259568
616	0.008455564082
617	0.008434969704
618	0.008422978268
619	0.008413626671
620	0.008391643194
621	0.008375376304
622	0.008355635491
623	0.008344129483
624	0.00831865502
625	0.008298863738
626	0.008273418695
627	0.008256662502
628	0.00823854876
629	0.008221666644
630	0.008203131836
631	0.008184380771
632	0.008164290257
633	0.008142553391
634	0.008116554965
635	0.008108346471
636	0.008097017668
637	0.008079242369
638	0.00805502358
639	0.008041062277
640	0.008017481118
641	0.008005617707
642	0.007973357749
643	0.007962075297
644	0.00794469815
645	0.007933148184
646	0.00790886063
647	0.007891405423
648	0.007873600166
649	0.007866640429
650	0.007855090765
651	0.007835038933
652	0.007814893425
653	0.007807956863
654	0.007782580619
655	0.007760536621
656	0.007746448269
657	0.007732157062
658	0.00771721025
659	0.007701551041
660	0.007685628276
661	0.007672525279
662	0.007663620802
663	0.007651098895
664	0.007634966817
665	0.007621020115
666	0.007606657753
667	0.007593694573
668	0.00756900095
669	0.007555430601
670	0.007546908269
671	0.007536920055
672	0.007532252877
673	0.007520227138
674	0.00749673602
675	0.007484900327
676	0.007468433643
677	0.007455242748
678	0.007441924025
679	0.007428044281
680	0.007394249661
681	0.007385062
682	0.007377156037
683	0.007354198427
684	0.007340465543
685	0.007333585763
686	0.007315544317
687	0.007302041112
688	0.007294616779
689	0.007287539807
690	0.00727369738
691	0.007259194715
692	0.007243385026
693	0.007226167496
694	0.007213792184
695	0.00720331223
696	0.007179862919
697	0.007160973043
698	0.007152236969
699	0.007138020374
700	0.007129701589
701	0.007119577979
702	0.007099496164
703	0.007092926835
704	0.00706138644
705	0.007052358554
706	0.0070439628
707	0.007033685637
708	0.007023435678
709	0.007014825347
710	0.007009312573
711	0.006996369126
712	0.006983976809
713	0.006967200268
714	0.006955724664
715	0.006934961297
716	0.006931073471
717	0.006912975156
718	0.006899194996
719	0.006889099802
720	0.006874129091
721	0.006864201804
722	0.006854955316
723	0.006846459349
724	0.006834534652
725	0.006822107811
726	0.006814192896
727	0.006795585681
728	0.006780957098
729	0.00675729692
730	0.006742863345
731	0.006734864077
732	0.00672240343
733	0.006713394668
734	0.006700986161
735	0.006693539701
736	0.006670624144
737	0.006654859643
738	0.006641511513
739	0.006631266679
740	0.00661994443
741	0.006601629405
742	0.006595559554
743	0.00658329641
744	0.006572922817
745	0.006553504613
746	0.006547259043
747	0.006541132766
748	0.006532795393
749	0.006524181233
750	0.006518239852
751	0.006510801048
752	0.006494911941
753	0.006477726857
754	0.006468629308
755	0.006458864926
756	0.006447073664
757	0.006440371114
758	0.006429440736
759	0.006419582623
760	0.006414076485
761	0.006390740586
762	0.006375942498
763	0.006362083893
764	0.006353478523
765	0.006332933972
766	0.006322582061
767	0.00631097452
768	0.00630612816
769	0.006292214771
770	0.006278142509
771	0.006271977753
772	0.006261493243
773	0.006248954612
774	0.006241469248
775	0.006229444322
776	0.006223522448
777	0.006211752537
778	0.006204679063
779	0.006195315755
780	0.006186330432
781	0.006179503945
782	0.006172399219
783	0.006164410721
784	0.006157179318
785	0.006147544792
786	0.006136934962
787	0.006128650551
788	0.006124380536
789	0.006119920011
790	0.006110923112
791	0.006101750063
792	0.006088602672
793	0.006082481427
794	0.006069585687
795	0.006057894893
796	0.006050471607
797	0.006042224284
798	0.006035259343
799	0.006025135038
800	0.006015084069
801	0.006005409817
802	0.005995177136
803	0.005988702102
804	0.00598410268
805	0.005972851504
806	0.005966289158
807	0.005955987779
808	0.005945142601
809	0.005935175492
810	0.005922938095
811	0.00591664282
812	0.00591008538
813	0.005901897507
814	0.005891159219
815	0.005885143736
816	0.005876263881
817	0.005873371195
818	0.005862835448
819	0.005851333598
820	0.005844159061
821	0.005835315003
822	0.005823407237
823	0.005811785272
824	0.00580543951
825	0.005794794515
826	0.005789706923
827	0.005778546466
828	0.005765715202
829	0.00576005333
830	0.005753610807
831	0.005740795855
832	0.005726151401
833	0.005716796187
834	0.005708968781
835	0.005702513156
836	0.005695374531
837	0.005687280849
838	0.005681753491
839	0.005667442511
840	0.00565552374
841	0.005646918979
842	0.005642647534
843	0.005628250837
844	0.005624253821
845	0.005613012867
846	0.005607849571
847	0.005601145986
848	0.005592072914
849	0.005580999745
850	0.005575920892
851	0.005572473506
852	0.005560361451
853	0.005552339391
854	0.005544548915
855	0.005539140043
856	0.005534076481
857	0.005528125312
858	0.005522242416
859	0.005515688352
860	0.005508483877
861	0.005502160614
862	0.005497963792
863	0.005491694375
864	0.00548289976
865	0.005477937252
866	0.005470933805
867	0.00546380628
868	0.005454885658
869	0.00544506497
870	0.005434768754
871	0.005430269806
872	0.005420974359
873	0.005409352592
874	0.005403559866
875	0.005386944921
876	0.005381113504
877	0.005371799954
878	0.005362657865
879	0.00535663316
880	0.005344669541
881	0.005338704876
882	0.005329945669
883	0.005325677473
884	0.005319343764
885	0.005316256299
886	0.005308064131
887	0.005301223464
888	0.005292682597
889	0.005288808345
890	0.005279353055
891	0.005272774233
892	0.005264359599
893	0.005255722644
894	0.005247743022
895	0.005242300773
896	0.00523816028
897	0.005230249877
898	0.005218577677
899	0.005214258881
900	0.005210964855
901	0.005199902143
902	0.005189952435
903	0.005182656726
904	0.005176139683
905	0.005169747749
906	0.005160842853
907	0.005155002237
908	0.005149051553
909	0.005139810246
910	0.005135197051
911	0.005129035524
912	0.005120664356
913	0.005115468279
914	0.005103770293
915	0.005097009684
916	0.005091972763
917	0.005084276568
918	0.00507922427
919	0.005072819418
920	0.005065035838
921	0.00505825935
922	0.005053110615
923	0.00504183149
924	0.005032034061
925	0.005020720599
926	0.005012728787
927	0.005002347707
928	0.004995881853
929	0.00498898275
930	0.004980731941
931	0.004973242815
932	0.004966566325
933	0.004961480491
934	0.00495750334
935	0.004950231371
936	0.004933144024
937	0.00491940916
938	0.004916712786
939	0.004909945886
940	0.004906730414
941	0.004900199989
942	0.004896291541
943	0.004886327932
944	0.0048806404
945	0.004875632061
946	0.004867326603
947	0.004858954754
948	0.004853490174
949	0.004845182219
950	0.004837835339
951	0.004833644529
952	0.004827722153
953	0.004816376785
954	0.004813939699
955	0.004808523512
956	0.00480289155
957	0.004794804102
958	0.004790461118
959	0.004785888336
960	0.004781482218
961	0.004772650528
962	0.004767508885
963	0.004761218982
964	0.004757921206
965	0.00475018543
966	0.004744896104
967	0.004736903708
968	0.004734505747
969	0.004729864811
970	0.004724722385
971	0.004720616239
972	0.004711403931
973	0.004704330038
974	0.004695470208
975	0.004690088856
976	0.004687750658
977	0.004675256054
978	0.004669732377
979	0.004665013392
980	0.004659043914
981	0.004652095088
982	0.004645694555
983	0.004638618768
984	0.004634531351
985	0.004631429468
986	0.004626470341
987	0.004619675988
988	0.004615622766
989	0.004609125601
990	0.004605112987
991	0.004595858328
992	0.004592401308
993	0.004586917805
994	0.004576713588
995	0.004572494829
996	0.004568920085
997	0.004564658969
998	0.004559250195
999	0.004555972714
