iter	Passed	Remaining
431	1591	2091
432	1593	2087
433	1596	2082
434	1599	2077
435	1603	2073
436	1606	2069
437	1608	2064
438	1612	2060
439	1615	2055
440	1618	2050
441	1621	2046
442	1624	2041
443	1626	2037
444	1629	2032
445	1632	2028
446	1635	2023
447	1638	2018
448	1641	2014
449	1644	2009
450	1647	2005
451	1650	2000
452	1653	1996
453	1656	1992
454	1659	1987
455	1662	1983
456	1665	1978
457	1668	1974
458	1671	1970
459	1674	1965
460	1678	1961
461	1680	1957
462	1683	1953
463	1687	1948
464	1689	1944
465	1692	1939
466	1695	1935
467	1698	1930
468	1701	1926
469	1704	1922
470	1707	1917
471	1710	1913
472	1713	1909
473	1716	1904
474	1719	1900
475	1722	1895
476	1724	1891
477	1727	1887
478	1730	1882
479	1733	1878
480	1737	1874
481	1740	1870
482	1743	1866
483	1746	1862
484	1749	1857
485	1752	1853
486	1756	1850
487	1759	1846
488	1762	1841
489	1765	1837
490	1769	1833
491	1771	1829
492	1774	1825
493	1777	1820
494	1780	1816
495	1783	1812
496	1786	1807
497	1789	1804
498	1792	1799
499	1795	1795
500	1798	1791
501	1801	1787
502	1804	1782
503	1807	1778
504	1810	1774
505	1813	1770
506	1816	1766
507	1819	1761
508	1822	1757
509	1824	1753
510	1828	1750
511	1832	1746
512	1837	1744
513	1841	1741
514	1844	1737
515	1847	1733
516	1850	1728
517	1853	1724
518	1856	1720
519	1860	1716
520	1863	1712
521	1866	1709
522	1870	1705
523	1873	1702
524	1876	1698
525	1879	1693
526	1882	1689
527	1885	1685
528	1888	1681
529	1891	1677
530	1894	1673
531	1897	1669
532	1900	1665
533	1903	1661
534	1906	1657
535	1909	1653
536	1912	1649
537	1915	1645
538	1918	1641
539	1921	1637
540	1924	1633
541	1927	1628
542	1930	1624
543	1933	1620
544	1936	1616
545	1939	1612
546	1942	1608
547	1945	1604
548	1948	1600
549	1951	1596
550	1954	1592
551	1957	1589
552	1962	1586
553	1966	1583
554	1971	1581
555	1976	1578
556	1981	1576
557	1986	1573
558	1991	1570
559	1995	1567
560	2000	1565
561	2004	1562
562	2009	1559
563	2013	1556
564	2018	1553
565	2023	1551
566	2027	1548
567	2032	1546
568	2037	1543
569	2042	1540
570	2047	1538
571	2051	1535
572	2056	1532
573	2060	1529
574	2065	1526
575	2069	1523
576	2073	1520
577	2078	1517
578	2082	1514
579	2086	1510
580	2090	1507
581	2095	1504
582	2099	1501
583	2103	1498
584	2106	1494
585	2109	1490
586	2112	1486
587	2115	1482
588	2118	1478
589	2121	1474
590	2124	1470
591	2127	1466
592	2130	1462
593	2133	1458
594	2136	1453
595	2137	1448
596	2140	1444
597	2143	1440
598	2146	1437
599	2149	1433
600	2152	1429
601	2155	1424
602	2158	1420
603	2161	1417
604	2164	1413
605	2167	1409
606	2170	1405
607	2173	1401
608	2176	1397
609	2179	1393
610	2182	1389
611	2185	1385
612	2188	1381
613	2191	1377
614	2194	1373
615	2197	1369
616	2200	1365
617	2203	1361
618	2206	1358
619	2209	1354
620	2212	1350
621	2215	1346
622	2218	1342
623	2221	1338
624	2224	1334
